Kode Butir,Domain,Kelompok Standar,Standar,Sub-standar,Pernyataan Butir,Indikator Ketercapaian,Dasar Hukum,Dokumen/Bukti Wajib,Metode Verifikasi,Sumber Data,Tahap Audit,Lapis Audit,Sasaran Auditee,Jenis Jawaban,Bobot,Butir Kritis,Status
AMI8.PDD.P.35,Pendidikan,Proses,Standar Pengelolaan,,"Layanan mahasiswa minimal mencakup administrasi akademik, bimbingan konseling, kesehatan, dan keperluan dasar bagi mahasiswa berkebutuhan khusus.","Keempat layanan tersedia, memiliki penanggung jawab, dan dapat dibuktikan pemanfaatannya melalui data layanan; layanan bimbingan konseling dan kesehatan dijalankan oleh personel yang kompeten.",Permen 39/2025 Pasal 38,SK unit layanan; SOP; data pemanfaatan layanan; sarana layanan,Telaah Dokumen; Observasi Lapangan; Wawancara,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.P.36,Pendidikan,Proses,Standar Pengelolaan,,"Pengelolaan data dan informasi memastikan keamanan, kebenaran, akurasi, kelengkapan, dan kemutakhiran data akademik.","Terdapat SOP pengelolaan data akademik; hasil rekonsiliasi data SIMAK terhadap PD Dikti menunjukkan selisih nol pada data mahasiswa, dosen, dan nilai; terdapat mekanisme backup dan kendali akses.",Permen 39/2025 Pasal 39 ayat (1) huruf a,SOP pengelolaan data; berita acara rekonsiliasi data; log backup,Verifikasi PD Dikti; Telaah Dokumen; Observasi Lapangan,PD Dikti,Keduanya,Kepatuhan SN Dikti,Universitas; Program Studi,Skala 0-4,5,Ya,Aktif
AMI8.PDD.P.37,Pendidikan,Proses,Standar Pengelolaan,,Perguruan tinggi melaporkan data profil dan kinerja pada PD Dikti sesuai ketentuan peraturan perundang-undangan.,Pelaporan periode berjalan berstatus lengkap dan tepat waktu; tidak terdapat periode pelaporan yang terlewat dalam dua tahun terakhir.,Permen 39/2025 Pasal 39 ayat (1) huruf c dan Pasal 111 ayat (4),Bukti status pelaporan PD Dikti; berita acara sinkronisasi,Verifikasi PD Dikti,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,5,Ya,Aktif
AMI8.PDD.P.38,Pendidikan,Proses,Standar Pengelolaan,,Data dan informasi perguruan tinggi yang dapat diakses publik disajikan minimal melalui laman resmi perguruan tinggi.,"Laman resmi memuat profil, program studi beserta status akreditasinya, informasi akademik, dan informasi biaya; informasi mutakhir pada tahun berjalan.",Permen 39/2025 Pasal 39 ayat (1) huruf d dan ayat (2); Pasal 112 ayat (1),Tangkapan layar laman resmi; daftar konten wajib,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.M.01,Pendidikan,Masukan,Standar Isi,,Materi pembelajaran memiliki tingkat kedalaman dan keluasan sesuai jenis dan program pendidikan serta standar kompetensi lulusan.,"Terdapat pemetaan kedalaman dan keluasan materi terhadap CPL; materi memperhatikan iptek dasar keilmuan, iptek mutakhir, konsep baru dari penelitian terkini, dan dunia kerja yang relevan.",Permen 39/2025 Pasal 40-42,Dokumen kurikulum; RPS; daftar referensi mutakhir,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.02,Pendidikan,Masukan,Standar Isi,,Kurikulum program studi memuat seluruh komponen minimal yang ditetapkan peraturan.,Kurikulum memuat: CPL; Masa Tempuh Kurikulum; metode pembelajaran; modalitas pembelajaran; syarat kompetensi dan/atau kualifikasi calon mahasiswa; penilaian hasil belajar; materi pembelajaran; dan tata cara penerimaan mahasiswa pada berbagai tahapan kurikulum.,Permen 39/2025 Pasal 44 ayat (1),Dokumen Kurikulum OBE; SK penetapan kurikulum,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Ya,Aktif
AMI8.PDD.M.03,Pendidikan,Masukan,Standar Isi,,Program studi yang mengakomodasi rekognisi pembelajaran lampau mencantumkan tata cara penerimaan mahasiswa pada berbagai tahapan kurikulum.,"Bagi prodi penyelenggara RPL, dokumen kurikulum memuat tata cara penerimaan pada tahapan kurikulum beserta mekanisme asesmen dan konversi.",Permen 39/2025 Pasal 44 ayat (2),Dokumen kurikulum bagian RPL; pedoman RPL; SK konversi,Telaah Dokumen; Wawancara,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,2,Tidak,Aktif
AMI8.PDD.M.04,Pendidikan,Masukan,Standar Isi,,Materi pembelajaran dalam kurikulum dapat diisi dengan program kompetensi mikro dan pemanfaatannya dikelola secara tertib.,"Bila digunakan, terdapat kebijakan pengakuan kredensial mikro atau MOOC beserta mekanisme penyetaraan dan bukti penerapan.",Permen 39/2025 Pasal 43 ayat (2) dan (3),Kebijakan kredensial mikro; daftar MOOC yang diakui; SK penyetaraan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Pelampauan (Unggul),Program Studi; Universitas,Ya/Tidak,2,Tidak,Aktif
AMI8.PDD.M.05,Pendidikan,Masukan,Standar Dosen dan Tenaga Kependidikan,,"Dosen memiliki kompetensi pedagogik, kepribadian, sosial, dan profesional untuk melaksanakan tugas sebagai teladan, pendidik dan perancang pembelajaran, fasilitator, serta motivator mahasiswa.","Terdapat bukti pengembangan kompetensi dosen (pelatihan pekerti/AA, sertifikasi, workshop) dan hasil evaluasi kinerja dosen oleh mahasiswa.",Permen 39/2025 Pasal 46 ayat (1) dan (2),Sertifikat pelatihan; laporan EDOM; rekap pengembangan dosen,Telaah Dokumen; Wawancara,Dokumen UPPS,Keduanya,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.06,Pendidikan,Masukan,Standar Dosen dan Tenaga Kependidikan,,Kualifikasi dosen sesuai ketentuan peraturan perundang-undangan dan terekam mutakhir pada PD Dikti.,"Seluruh dosen tetap prodi memenuhi kualifikasi minimum; data pendidikan terakhir, jabatan akademik, dan homebase sinkron antara dokumen kepegawaian dan PD Dikti.",Permen 39/2025 Pasal 46 ayat (3),Ijazah dan SK jabatan akademik; data dosen PD Dikti,Verifikasi PD Dikti; Telaah Dokumen,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas,Persentase,5,Ya,Aktif
AMI8.PDD.M.07,Pendidikan,Masukan,Standar Dosen dan Tenaga Kependidikan,,Pemenuhan kualifikasi dosen yang berasal dari praktisi dilakukan melalui rekognisi pembelajaran lampau secara tertib.,"Bila terdapat dosen praktisi, tersedia dokumen asesmen RPL, SK pengakuan, dan pencatatan pada sistem kepegawaian dan PD Dikti.",Permen 39/2025 Pasal 46 ayat (4) dan (5),Dokumen asesmen RPL dosen; SK pengakuan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Ya/Tidak,2,Tidak,Aktif
AMI8.PDD.M.08,Pendidikan,Masukan,Standar Dosen dan Tenaga Kependidikan,,Kompetensi dan kualifikasi tenaga kependidikan ditetapkan perguruan tinggi sesuai kebutuhan dan terpenuhi.,Terdapat SK standar kualifikasi tenaga kependidikan; pemenuhan aktual terhadap standar tersebut dapat ditunjukkan per unit layanan.,Permen 39/2025 Pasal 47,SK standar kualifikasi tendik; data kepegawaian; analisis kebutuhan,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.09,Pendidikan,Masukan,Standar Sarana dan Prasarana,,Perguruan tinggi menjamin dan menyediakan akses terhadap sarana dan prasarana yang mengakomodasi kebutuhan pendidikan mahasiswa dan pelaksanaan tugas dosen serta tenaga kependidikan.,"Rasio ruang kelas, laboratorium, dan ruang kerja dosen terhadap jumlah pengguna memadai; sarana pembelajaran berfungsi baik; hasil survei kepuasan sarpras tersedia.",Permen 39/2025 Pasal 48 ayat (2) huruf a dan b,Daftar inventaris; denah dan kapasitas ruang; survei kepuasan sarpras,Observasi Lapangan; Telaah Dokumen; Wawancara,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,UPPS/Fakultas; Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.10,Pendidikan,Masukan,Standar Sarana dan Prasarana,,"Sarana dan prasarana ramah terhadap mahasiswa, dosen, dan tenaga kependidikan yang berkebutuhan khusus.","Tersedia aksesibilitas fisik (ramp, toilet aksesibel, jalur pemandu, lift bila bertingkat) dan/atau akomodasi lain yang terdokumentasi.",Permen 39/2025 Pasal 48 ayat (2) huruf c,Foto/dokumentasi fasilitas aksesibilitas; daftar akomodasi,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.11,Pendidikan,Masukan,Standar Sarana dan Prasarana,,"Penyediaan akses sarana dan prasarana memenuhi ketentuan keamanan, keselamatan, dan kesehatan; kelengkapan pencegahan dan pemadam kebakaran serta penanggulangan kondisi darurat; serta pengelolaan sampah dan limbah bahan berbahaya dan beracun.","Alat pemadam api ringan tersedia, terpasang, dan masih berlaku masa uji; jalur evakuasi dan titik kumpul tersedia; pengelolaan limbah laboratorium terdokumentasi; terdapat prosedur tanggap darurat.",Permen 39/2025 Pasal 48 ayat (7),Kartu kontrol APAR; denah evakuasi; SOP tanggap darurat; dokumen pengelolaan limbah B3,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Skala 0-4,5,Ya,Aktif
AMI8.PDD.M.12,Pendidikan,Masukan,Standar Sarana dan Prasarana,,"Perguruan tinggi menerapkan tata kelola teknologi informasi dan komunikasi yang efektif, andal, dan akuntabel, serta menjamin privasi dan keamanan data.",Terdapat kebijakan tata kelola TIK dan keamanan informasi; pengaturan hak akses berbasis peran; mekanisme backup dan pemulihan; kebijakan pelindungan data pribadi.,Permen 39/2025 Pasal 49,Kebijakan tata kelola TIK; matriks hak akses; log backup; kebijakan privasi,Telaah Dokumen; Wawancara; Observasi Lapangan,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Ya,Aktif
AMI8.PDD.M.13,Pendidikan,Masukan,Standar Sarana dan Prasarana,,Tersedia sumber pembelajaran yang disiapkan perguruan tinggi dan sumber pembelajaran terbuka yang dapat diakses sivitas akademika.,Perpustakaan/repositori dan langganan sumber daring tersedia dan aktif; terdapat kebijakan pemanfaatan sumber pembelajaran terbuka yang relevan dengan kurikulum.,Permen 39/2025 Pasal 50,Data koleksi dan langganan; kebijakan sumber terbuka; statistik akses,Telaah Dokumen; Observasi Lapangan,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.14,Pendidikan,Masukan,Standar Pembiayaan,,"Perguruan tinggi memiliki sumber pendanaan yang memadai untuk membiayai penyelenggaraan pendidikan sesuai SN Dikti, meliputi biaya investasi dan biaya operasional.",Anggaran tahunan memisahkan biaya investasi dan operasional; realisasi anggaran pendidikan dapat ditunjukkan; tidak terdapat program akademik yang batal karena ketiadaan dana.,Permen 39/2025 Pasal 51 ayat (2) dan (3),RKAT; laporan realisasi anggaran,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.15,Pendidikan,Masukan,Standar Pembiayaan,,Perguruan tinggi menyusun rencana strategis keuangan untuk memastikan ketersediaan pendanaan secara berkelanjutan.,"Terdapat dokumen rencana strategis keuangan yang disahkan, memuat proyeksi pendapatan dan belanja jangka menengah serta strategi diversifikasi sumber dana.",Permen 39/2025 Pasal 51 ayat (4),Rencana strategis keuangan; SK pengesahan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,5,Tidak,Aktif
AMI8.PDD.M.16,Pendidikan,Masukan,Standar Pembiayaan,,Perguruan tinggi menerapkan sistem pengelolaan keuangan berdasarkan prinsip tata kelola perguruan tinggi yang baik.,"Terdapat SOP pengelolaan keuangan, pemisahan kewenangan otorisasi dan pembayaran, serta laporan keuangan yang diaudit atau direviu.",Permen 39/2025 Pasal 51 ayat (5),SOP keuangan; laporan keuangan; laporan hasil audit/reviu,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PDD.M.17,Pendidikan,Masukan,Standar Pembiayaan,,Perguruan tinggi menerapkan kebijakan bantuan biaya pendidikan bagi mahasiswa yang memiliki keterbatasan kemampuan ekonomi.,"Terdapat kebijakan tertulis, kriteria dan mekanisme pengajuan yang diumumkan, serta data penerima bantuan pada tahun berjalan.",Permen 39/2025 Pasal 51 ayat (6),SK kebijakan bantuan biaya; data penerima; bukti pengumuman,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,2,Tidak,Aktif
AMI8.PNL.L.01,Penelitian,Luaran,Standar Luaran Penelitian,,"Mutu, relevansi, dan kemanfaatan hasil penelitian mendukung pelaksanaan misi dan pencapaian visi serta target dampak perguruan tinggi.",Terdapat pemetaan luaran penelitian terhadap sasaran renstra; luaran tiga tahun terakhir terekam beserta jenis dan tingkatannya.,Permen 39/2025 Pasal 53 ayat (1) dan (2),Rekap luaran penelitian; renstra penelitian; matriks keselarasan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PNL.L.02,Penelitian,Luaran,Standar Luaran Penelitian,,"Perguruan tinggi memaksimalkan penggunaan atau mengadopsi lisensi terbuka dan/atau mekanisme lain yang dapat diakses masyarakat dalam menyebarluaskan hasil penelitian, terutama yang dibiayai Pemerintah.","Terdapat repositori institusi yang dapat diakses publik; hasil penelitian berbiaya Pemerintah terunggah, kecuali penelitian yang bersifat rahasia, mengganggu, dan/atau membahayakan kepentingan umum.",Permen 39/2025 Pasal 53 ayat (3) dan (4),Kebijakan akses terbuka; tautan repositori; daftar unggahan,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PNL.P.01,Penelitian,Proses,Standar Proses Penelitian,,"Perguruan tinggi menetapkan standar proses penelitian yang meliputi perencanaan, pelaksanaan, penilaian, pengawasan, dan pengendalian kegiatan penelitian.",Tersedia standar dan SOP proses penelitian yang disahkan; kelima tahapan tercakup dan dapat dibuktikan pelaksanaannya pada tahun berjalan.,Permen 39/2025 Pasal 54,Standar dan SOP penelitian; SK penetapan; laporan pelaksanaan,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,3,Tidak,Aktif
AMI8.PNL.P.02,Penelitian,Proses,Standar Proses Penelitian,,Penelitian dilakukan dengan memenuhi kaidah dan metode ilmiah sesuai otonomi keilmuan dan budaya akademik.,Proposal melalui proses reviu; terdapat bukti penilaian kelayakan metodologi; laporan penelitian memenuhi kaidah ilmiah.,Permen 39/2025 Pasal 55 ayat (1) dan (2),Berita acara reviu proposal; instrumen penilaian; laporan penelitian,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Unit/Biro,Skala 0-4,3,Tidak,Aktif
AMI8.PNL.P.03,Penelitian,Proses,Standar Proses Penelitian,,"Perguruan tinggi menetapkan kode etik penelitian, pengelolaan dan kepemilikan hak atas kekayaan intelektual, ketentuan kerja sama penelitian, serta persyaratan publikasi dan ketentuan kepenulisan.",Keempat ketentuan tersebut tersedia dalam dokumen yang disahkan dan disosialisasikan; terdapat komisi etik penelitian bila diperlukan bidang keilmuannya.,Permen 39/2025 Pasal 55 ayat (3),Kode etik penelitian; kebijakan HKI; pedoman kerja sama; pedoman publikasi,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PNL.P.04,Penelitian,Proses,Standar Proses Penelitian,,"Penelitian yang melibatkan mahasiswa dikelola dengan sistem yang mengatur penjabaran tugas, hak, dan kewajiban para pihak, serta pengakuan satuan kredit semester bagi mahasiswa.","Terdapat ketentuan tertulis mengenai pembagian tugas, hak, dan kewajiban dosen-peneliti-mahasiswa; terdapat mekanisme dan bukti konversi sks bagi mahasiswa yang terlibat penelitian.",Permen 39/2025 Pasal 56 ayat (4) dan (5),Pedoman penelitian bersama; SK konversi sks; kontrak penelitian,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Unit/Biro; Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PNL.M.01,Penelitian,Masukan,Standar Masukan Penelitian,,"Perguruan tinggi menyediakan akses yang memadai terhadap sarana, prasarana, dan pembiayaan penelitian.",Terdapat alokasi anggaran penelitian internal pada RKAT beserta realisasinya; laboratorium/fasilitas penelitian tersedia dan dapat diakses peneliti.,Permen 39/2025 Pasal 57 ayat (2) huruf a,RKAT bagian penelitian; laporan realisasi; daftar fasilitas penelitian,Telaah Dokumen; Observasi Lapangan,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PNL.M.02,Penelitian,Masukan,Standar Masukan Penelitian,,Terdapat penugasan dan peningkatan kompetensi dosen dalam melaksanakan penelitian sesuai bobot yang ditugaskan perguruan tinggi.,"Penugasan penelitian tercantum dalam beban kerja dosen; terdapat program peningkatan kompetensi penelitian (pelatihan metodologi, penulisan artikel) beserta pesertanya.",Permen 39/2025 Pasal 57 ayat (2) huruf b,Dokumen BKD; SK penugasan; laporan pelatihan,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PNL.M.03,Penelitian,Masukan,Standar Masukan Penelitian,,"Perguruan tinggi menerapkan sistem berbasis teknologi informasi dan komunikasi yang andal untuk mendokumentasikan, mengevaluasi, melaporkan, dan menyebarluaskan proses dan hasil penelitian.","Sistem informasi penelitian beroperasi dan memuat data usulan, kontrak, laporan, dan luaran; data mutakhir pada tahun berjalan dan tersinkron dengan pelaporan nasional.",Permen 39/2025 Pasal 57 ayat (2) huruf c,Tangkapan layar sistem; rekap data; bukti pelaporan,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PKM.L.01,Pengabdian kepada Masyarakat,Luaran,Standar Luaran PkM,,"Mutu, relevansi, dan kemanfaatan hasil pengabdian kepada masyarakat mendukung pelaksanaan misi dan pencapaian visi serta target dampak perguruan tinggi.",Terdapat pemetaan luaran PkM terhadap sasaran renstra; luaran tiga tahun terakhir terekam; terdapat bukti kemanfaatan bagi mitra atau masyarakat sasaran.,Permen 39/2025 Pasal 59 ayat (1) dan (2),Rekap luaran PkM; renstra PkM; testimoni/bukti dampak mitra,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PKM.L.02,Pengabdian kepada Masyarakat,Luaran,Standar Luaran PkM,,Perguruan tinggi memaksimalkan penggunaan atau mengadopsi lisensi terbuka dan/atau mekanisme lain yang dapat diakses masyarakat dalam menyebarluaskan hasil pengabdian kepada masyarakat.,"Hasil PkM, terutama yang dibiayai Pemerintah, dipublikasikan melalui repositori atau kanal yang dapat diakses publik.",Permen 39/2025 Pasal 59 ayat (3),Tautan repositori/publikasi; daftar hasil PkM terpublikasi,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Unit/Biro,Skala 0-4,5,Tidak,Aktif
AMI8.PKM.P.01,Pengabdian kepada Masyarakat,Proses,Standar Proses PkM,,"Perguruan tinggi menetapkan standar proses pengabdian kepada masyarakat yang meliputi perencanaan, pelaksanaan, penilaian, pengawasan, dan pengendalian.",Tersedia standar dan SOP proses PkM yang disahkan; kelima tahapan tercakup dan dapat dibuktikan pelaksanaannya.,Permen 39/2025 Pasal 60,Standar dan SOP PkM; SK penetapan; laporan pelaksanaan,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,3,Tidak,Aktif
AMI8.PKM.P.02,Pengabdian kepada Masyarakat,Proses,Standar Proses PkM,,"Perguruan tinggi menetapkan kode etik PkM, pengelolaan dan kepemilikan hak atas kekayaan intelektual, ketentuan kerja sama, serta persyaratan diseminasi dan ketentuan kepenulisan.",Keempat ketentuan tersedia dalam dokumen yang disahkan dan disosialisasikan kepada pelaksana PkM.,Permen 39/2025 Pasal 61 ayat (2),Kode etik PkM; kebijakan HKI; pedoman kerja sama dan diseminasi,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,3,Tidak,Aktif
AMI8.PKM.P.03,Pengabdian kepada Masyarakat,Proses,Standar Proses PkM,,Pengabdian kepada masyarakat oleh mahasiswa untuk memperoleh pengakuan satuan kredit semester dilaksanakan di bawah bimbingan dosen yang memenuhi persyaratan sebagai pembimbing.,Terdapat kriteria pembimbing PkM yang ditetapkan; SK pembimbing tersedia; konversi sks terdokumentasi.,Permen 39/2025 Pasal 62 ayat (2),SK kriteria dan penetapan pembimbing; dokumen konversi sks,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Unit/Biro; Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PKM.M.01,Pengabdian kepada Masyarakat,Masukan,Standar Masukan PkM,,"Perguruan tinggi menyediakan akses yang memadai terhadap sarana, prasarana, dan pembiayaan pengabdian kepada masyarakat.",Terdapat alokasi anggaran PkM internal pada RKAT beserta realisasinya; sarana pendukung tersedia.,Permen 39/2025 Pasal 63 ayat (2) huruf a,RKAT bagian PkM; laporan realisasi,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PKM.M.02,Pengabdian kepada Masyarakat,Masukan,Standar Masukan PkM,,Terdapat penugasan dan peningkatan kompetensi dosen dalam melaksanakan pengabdian kepada masyarakat sesuai bobot yang ditugaskan.,Penugasan PkM tercantum dalam beban kerja dosen; terdapat program peningkatan kompetensi PkM beserta pesertanya.,Permen 39/2025 Pasal 63 ayat (2) huruf b,Dokumen BKD; SK penugasan; laporan pelatihan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.PKM.M.03,Pengabdian kepada Masyarakat,Masukan,Standar Masukan PkM,,"Perguruan tinggi menerapkan sistem berbasis teknologi informasi dan komunikasi yang andal untuk mendokumentasikan, mengevaluasi, melaporkan, dan menyebarluaskan proses dan hasil PkM.","Sistem informasi PkM beroperasi dan memuat data usulan, kontrak, laporan, dan luaran secara mutakhir.",Permen 39/2025 Pasal 63 ayat (2) huruf c,Tangkapan layar sistem; rekap data,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Unit/Biro,Skala 0-4,2,Tidak,Aktif
AMI8.NAK.T.01,Nonakademik,Tata Kelola SPMI,Standar Pendidikan Tinggi yang Ditetapkan PT,,Standar pendidikan tinggi yang ditetapkan perguruan tinggi merupakan penjabaran operasional SN Dikti dan memuat pelampauan terhadap SN Dikti dalam hal tingkat mutu dan keluasan substansi.,Dokumen Standar Mutu memuat butir yang secara eksplisit melampaui SN Dikti; pelampauan tersebut terukur dan dapat diverifikasi.,Permen 39/2025 Pasal 64 ayat (1) dan (2),Dokumen Standar Mutu SPMI; matriks pelampauan SN Dikti,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Tidak,Aktif
AMI8.NAK.T.02,Nonakademik,Tata Kelola SPMI,Standar Pendidikan Tinggi yang Ditetapkan PT,,Standar pendidikan tinggi yang ditetapkan perguruan tinggi ditetapkan oleh pemimpin perguruan tinggi setelah mendapat pertimbangan senat dan persetujuan badan penyelenggara.,Terdapat risalah/berita acara pertimbangan senat dan surat persetujuan badan penyelenggara yang mendahului tanggal SK penetapan Standar Mutu.,Permen 39/2025 Pasal 64 ayat (3) huruf b,Berita acara senat; surat persetujuan badan penyelenggara; SK Rektor,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,5,Ya,Aktif
AMI8.NAK.T.03,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,"Perguruan tinggi mengembangkan SPMI dengan menerapkan prinsip akuntabilitas, transparansi, nirlaba, efektivitas, efisiensi, dan peningkatan mutu berkelanjutan yang saling menilik dan mengimbangi.",Terdapat Kebijakan Mutu yang memuat prinsip-prinsip tersebut; fungsi audit terpisah secara struktural dari fungsi yang diaudit; tidak terdapat auditor yang mengaudit unit tempatnya bertugas.,Permen 39/2025 Pasal 67 ayat (1) dan (2),Kebijakan Mutu; struktur organisasi; SK penugasan auditor beserta peta penugasan,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Ya,Aktif
AMI8.NAK.T.04,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,"SPMI diimplementasikan melalui siklus penetapan, pelaksanaan, evaluasi pemenuhan, pengendalian pelaksanaan, dan peningkatan standar pendidikan tinggi secara lengkap.","Kelima tahap siklus dapat dibuktikan dokumennya untuk siklus berjalan: SK standar, bukti pelaksanaan, laporan evaluasi/AMI, permintaan tindakan koreksi, dan bukti peningkatan standar.",Permen 39/2025 Pasal 68 ayat (1) dan (4),Dokumen SPMI lengkap; laporan AMI; PTK; SK peningkatan standar,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Skala 0-4,5,Ya,Aktif
AMI8.NAK.T.05,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,"Evaluasi pemenuhan standar dilaksanakan secara berkala melalui pemantauan, evaluasi diri, audit mutu internal, asesmen, dan/atau cara lain yang ditetapkan perguruan tinggi.",Terdapat jadwal dan bukti pelaksanaan evaluasi berkala; AMI dilaksanakan minimal satu kali per tahun; metode evaluasi yang digunakan ditetapkan secara tertulis.,Permen 39/2025 Pasal 68 ayat (2),Jadwal AMI; laporan AMI siklus berjalan; SK metode evaluasi,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,5,Ya,Aktif
